country_name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,0.0,65.69,67.18,65.58,71.31,73.82,72.59,80.97,82.92,85.2,77.18,69.44,81.83,88.97,92.54,95.24,100.35,84.11,93.76,90.68,88.5,86.07,83.54,81.27,79.53,76.18,72.8,73.32,69.79,66.86,66.64,77.29,72.81,77.56,79.99,81.43,82.57,86.38,90.73,84.21,70.15,72.45,87.82,97.29,87.09,109.23,103.68,121.25,102.9,130.8,125.38,113.4,133.91,133.42,143.04,137.04,147.96,0.0,0.0
Angola,0.0,40.58,43.28,42.08,45.32,46.84,48.75,49.98,48.69,52.37,53.34,54.69,52.26,53.58,54.2,45.57,37.91,35.71,33.97,30.91,31.07,28.31,28.33,28.45,28.72,28.69,30.01,30.4,30.36,30.05,29.25,31.24,33.24,32.35,39.85,39.23,39.73,38.12,46.52,43.09,52.49,62.91,74.33,81.74,93.39,101.57,105.04,120.55,129.68,171.29,181.21,200.84,158.31,227.12,188.98,193.89,208.66,0.0,0.0
Albania,0.0,37.63,41.52,40.25,48.4,43.46,51.81,51.37,53.35,54.6,56.52,57.96,61.22,66.82,68.15,69.52,77.12,81.62,82.77,85.38,80.27,83.95,88.22,98.74,90.23,90.17,91.13,92.67,79.1,93.97,84.36,60.62,66.62,78.64,78.71,81.0,80.08,82.79,89.18,81.76,85.76,88.59,86.23,91.28,97.88,97.29,104.83,102.15,119.16,127.54,140.39,148.96,161.18,161.48,166.67,173.61,182.11,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab World,0.0,25.339869738552377,29.680954493632253,30.43870226898395,30.59981485063227,32.03037795812124,28.353374408116274,30.5876540580387,33.48718911297757,32.82214954851028,33.07818206742969,36.88436753311254,37.17401978061962,34.83567182759718,39.11308686997766,40.0296455185821,40.411100190473555,38.40603688699999,41.05653786219728,40.834992346862094,44.490822365375685,43.67602190992907,45.26139621788018,45.94386625993648,45.90403305122237,52.759430011005946,55.744012370798956,54.54377271906118,57.9725888380747,57.07806506824107,60.41912305640009,65.20711617495854,66.93299264137879,67.43890124313904,69.21924546145495,68.78869366056391,83.38458439557762,75.39499860392175,81.97783001271245,81.35838713889328,81.69643812077774,82.48856902835148,89.31436797494044,94.87818219493457,97.34719613904812,99.62210563588879,107.25155386290479,100.5669689190225,103.14383403298142,110.53939861187914,107.66214263619568,113.61497265658977,113.84970830960074,117.82683005331863,113.38337808239454,0.0,0.0,0.0,0.0
United Arab Emirates,0.0,0.85,0.91,0.97,1.03,1.04,1.4,1.52,1.68,1.95,2.26,2.56,2.25,2.67,4.34,4.56,5.29,6.31,8.77,10.68,12.32,14.06,18.29,20.76,18.57,18.98,18.91,18.08,23.92,28.79,29.8,38.61,51.13,54.4,57.81,70.39,75.84,97.25,98.7,163.42,200.84,113.26,105.51,94.67,105.75,103.6,90.65,89.09,95.87,90.29,95.56,36.84,34.51,35.5,54.27,74.7,82.98,0.0,0.0
Argentina,0.0,25.69,26.33,29.13,30.93,28.09,29.65,33.64,28.81,30.75,33.61,35.14,31.64,35.9,40.89,38.91,41.76,41.62,44.96,46.9,41.43,46.83,53.75,52.2,54.19,51.75,51.61,50.8,55.88,46.3,53.11,56.99,58.01,54.57,58.54,66.08,63.18,71.32,82.99,80.13,81.29,86.78,88.18,92.2,90.66,106.07,103.26,117.67,119.16,84.6,118.64,127.17,111.03,123.67,132.86,143.54,145.49,0.0,0.0
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.11,48.93,60.35,58.94,61.37,47.59,53.5,55.63,57.99,56.57,55.35,60.55,75.01,113.43,111.56,115.71,123.53,126.0,87.21,114.79,135.56,139.63,134.98,145.32,124.93,0.0,0.0
American Samoa,0.0,60.36,63.56,68.15,65.6,62.67,64.45,70.22,71.53,78.61,74.91,68.82,67.65,66.63,62.55,61.32,57.64,56.11,52.76,44.22,49.23,48.92,49.02,47.59,45.16,43.61,44.68,41.17,41.11,40.9,45.07,41.44,44.19,49.47,53.4,56.48,61.35,64.27,85.0,66.33,74.82,85.96,90.72,101.01,97.23,100.43,102.34,104.22,106.52,109.45,111.46,109.92,106.1,114.8,113.96,117.51,118.33,0.0,0.0
